Ia toti clientii din fisier,23.39.2020 10:39:01
Ia toate spectacolele din fisier,23.39.2020 10:39:01
Adaugare spectacol din fisier,23.39.2020 10:39:01
Adaugare spectacol din fisier,23.39.2020 10:39:01
Adaugare spectacol din fisier,23.39.2020 10:39:01
Adaugare spectacol din fisier,23.39.2020 10:39:01
Adaugare spectacol din fisier,23.39.2020 10:39:01
Adaugare spectacol din fisier,23.39.2020 10:39:01
Adaugare client nou,23.39.2020 10:39:08
Ia toti clientii din fisier,23.42.2020 10:42:33
Adaugarea unui client existent in fisier,23.42.2020 10:42:33
Ia toate spectacolele din fisier,23.42.2020 10:42:33
Adaugare spectacol din fisier,23.42.2020 10:42:33
Adaugare spectacol din fisier,23.42.2020 10:42:33
Adaugare spectacol din fisier,23.42.2020 10:42:33
Adaugare spectacol din fisier,23.42.2020 10:42:33
Adaugare spectacol din fisier,23.42.2020 10:42:33
Adaugare spectacol din fisier,23.42.2020 10:42:33
Adaugare client nou,23.42.2020 10:42:38
Ia toti clientii din fisier,23.43.2020 10:43:28
Adaugarea unui client existent in fisier,23.43.2020 10:43:28
Adaugarea unui client existent in fisier,23.43.2020 10:43:28
Ia toate spectacolele din fisier,23.43.2020 10:43:28
Adaugare spectacol din fisier,23.43.2020 10:43:29
Adaugare spectacol din fisier,23.43.2020 10:43:29
Adaugare spectacol din fisier,23.43.2020 10:43:29
Adaugare spectacol din fisier,23.43.2020 10:43:29
Adaugare spectacol din fisier,23.43.2020 10:43:29
Adaugare spectacol din fisier,23.43.2020 10:43:29
